# waveref: air
# unit: angstrom
# note: keep this consistent with wavesol.waveref in config.yaml
lambda
3888.65
3948.98
3968.36
4026.19
4044.42
4120.9
4143.76
4158.59
4181.88
4190.71
4199.0
4259.36
4333.56
4345.17
4387.93
4471.48
4713.0
4788.9
4806.02
4837.48
4847.81
4863.96
4884.92
4921.93
4957.03
5015.68
5037.75
5047.74
5080.38
5116.5
5145.95
5188.3
5193.13
5203.9
5221.8
5252.79
5330.78
5341.6
5360.0
5400.56
5433.65
5495.88
5506.11
5562.5
5572.55
5588.72
5606.73
5689.82
5748.3
5764.42
5820.15
5852.49
5875.97
5881.9
5944.83
5975.05
6029.99
6074.34
6096.16
6143.06
6163.59
6216.7
6266.5
6304.79
6334.02
6382.99
6402.25
6506.53
6532.88
6598.95
6678.15
6717.04
6752.83
6871.29
6929.47
6965.43
7032.41
7065.19
7245.17
7281.35
7383.98
7438.9
7488.87
7503.87
7514.65
7635.11
7723.98
7948.18
8006.16
8014.79
8103.7
8115.31
8264.52
8377.61
8495.36
8521.44
8782.36
8853.87
9122.97
9194.64
9224.5
9657.78
9784.503
10052.06
10506.5
10917.0
